Time	EMG	Muscle Force
0.655	-0.0329861	0.248747
0.656	-0.0566127	0.248747
0.657	0.0718627	0.248377
0.658	0.145142	0.248747
0.659	-0.0894354	0.248377
0.66	-0.274207	0.249117
0.661	-0.147197	0.248747
0.662	0.0840824	0.248747
0.663	0.215661	0.248747
0.664	0.155487	0.248747
0.665	0.105317	0.249117
0.666	0.0251362	0.249117
0.667	-0.111156	0.248377
0.668	-0.218155	0.248377
0.669	-0.199839	0.249117
0.67	-0.0412128	0.249117
0.671	0.0641329	0.248747
0.672	0.192325	0.248377
0.673	0.192513	0.248377
0.674	0.140591	0.248747
0.675	0.0410027	0.248747
0.676	-0.165324	0.248377
0.677	-0.291733	0.248377
0.678	-0.198282	0.249117
0.679	0.00418863	0.248377
0.68	0.16337	0.248747
0.681	0.226437	0.248747
0.682	0.225154	0.248377
0.683	0.00556125	0.248747
0.684	-0.225192	0.248377
0.685	-0.161764	0.248377
0.686	-0.0553844	0.248377
0.687	0.00895204	0.248747
0.688	0.055937	0.248747
0.689	0.103143	0.248747
0.69	0.109372	0.248377
0.691	-0.0107352	0.249117
0.692	-0.111538	0.248747
0.693	-0.127187	0.248377
0.694	-0.00755404	0.248377
0.695	0.0884841	0.248377
0.696	0.129779	0.248377
0.697	0.00843623	0.248747
0.698	-0.0510559	0.248747
0.699	-0.0123645	0.248377
0.7	-0.0539746	0.248747
0.701	-0.0966824	0.248747
0.702	0.0160302	0.248377
0.703	0.0532232	0.249117
0.704	0.00253576	0.248747
0.705	0.0471778	0.248377
0.706	0.0967736	0.248747
0.707	0.0395735	0.248007
0.708	-0.0570317	0.248377
0.709	-0.10773	0.248747
0.71	-0.126412	0.248747
0.711	-0.0746988	0.248747
0.712	0.0976145	0.248747
0.713	0.19612	0.248377
0.714	0.1753	0.248747
0.715	-0.0417394	0.248007
0.716	-0.221528	0.248377
0.717	-0.11947	0.248377
0.718	-0.0137101	0.248747
0.719	0.00812742	0.248377
0.72	0.137111	0.248377
0.721	0.0992822	0.248007
0.722	0.0314581	0.248747
0.723	-0.0445211	0.248377
0.724	-0.0673332	0.248377
0.725	-0.0726208	0.248377
